Rank,Crate,Version,Repository,Last_Update,GitHub_Stars,Maintenance,Domain,Dimensions_Supported,Key_Feature,License,Fit_for_open_gororoba,Integration_Phase,Priority,Notes
T1,wedged,v0.1.1,https://github.com/jsmith628/wedged,2025-12-29,27,ACTIVE,Clifford/GA,Arbitrary,Dimension-agnostic GA with clean trait API,Apache-2.0,HIGH,Phase 3a,HIGH,Trial at dims 4,8,16; excellent baseline
T1,amari,v0.18.0,https://github.com/justinelliottcobb/Amari,2026-02-01,6,VERY_ACTIVE,Clifford/GA+Calculus,Arbitrary,Comprehensive ecosystem (calculus/measure/GPU),Unknown,HIGH,Phase 3c-3d,MEDIUM,Defer to Phase 3c; verify license first
T1,geonum,v0.10.1,https://github.com/mxfactorial/geonum,2026-02-01,18,VERY_ACTIVE,Clifford/GA,Unlimited,O(1) complexity claims via angle representation,BSD-3-Clause,HIGH,Phase 3a,HIGH,Benchmark on dims 64+; validate O(1) claims
T1,num-quaternion,v1.0.7,https://github.com/ralphtandetzky/num-quaternion,2026-02-09,9,VERY_ACTIVE,Hypercomplex,4 (quaternion),Standard quaternion impl; part of num ecosystem,Unknown,GOOD,Phase 3a,MEDIUM,Already in workspace; use for dim=4 validation
T2,clifford,v0.3.0,https://github.com/DevonMorris/clifford,2026-02-04,3,ACTIVE,Clifford/GA,3 (3D/PGA focus),3D projective GA; rotors and motors,Unknown,MODERATE,Phase 3a,LOW,Domain-specific; skip unless 3D validation needed
T2,vee,v0.1.7,https://github.com/qu1x/vee,2026-02-01,Unknown,ACTIVE,Clifford/GA Codegen,Arbitrary,GA code generator; symbolic expressions,Unknown,MODERATE,Phase 3c-3d,LOW,Defer to optimization phase; useful for hot paths
T2,noether,v0.3.0,https://github.com/warlock-labs/noether,2025-04-12,Unknown,MAINTAINED,Abstract_Algebra,Varies,Generic algebra toolkit; trait-based,Unknown,MODERATE,Phase 3b-3d,LOW,Evaluate only if universal_algebra needs extension
T2,octonion,v0.1.1,https://github.com/xander/octonion,2026-01-05,Unknown,RECENTLY_UPDATED,Hypercomplex,8 (octonion),Minimal; dependency-free; no_std safe,Unknown,MODERATE,Phase 3a,MEDIUM,Cross-validate hand-rolled CD at dim=8
T3,abstract-algebra,v0.1.0,https://github.com/doitian/abstract-algebra,2024-03-31,Unknown,MINIMAL_UPDATES,Abstract_Algebra,Unknown,Generic abstract algebra structures,Unknown,UNKNOWN,Phase 3b-3d,LOW,Requires code inspection; low priority
T3,abstalg,v0.2.0,https://github.com/mmaroti/abstalg-rs,2024-10-17,Unknown,MAINTAINED,Abstract_Algebra,Unknown,Abstract algebraic structures,Unknown,UNKNOWN,Phase 3b-3d,LOW,Similar to noether; less documented
T3,geometric_algebra,v0.3.0,https://github.com/Lichtso/geometric_algebra,2023-09-20,54,STALE (18+mo),Clifford/GA Codegen,Arbitrary,Code generator approach; outdated,Unknown,LOW,DEPRECATED,LOW,Stale; use wedged instead
T4,alga,v0.9.3,https://github.com/rustsim/alga,2020-03-02,Unknown,ARCHIVED,Abstract_Algebra,Varies,Deprecated by dimforge; predecessor to nalgebra,Unknown,LOW,DEPRECATED,NOT_RECOMMENDED,5+ years stale; do not use
T4,un_algebra,v0.9.0,https://gitlab.com/ornamentist/un-algebra,2019-12-07,Unknown,UNMAINTAINED,Abstract_Algebra,Varies,Selected abstract algebraic structures,Unknown,LOW,DEPRECATED,NOT_RECOMMENDED,6+ years stale; do not use
T4,algebra,v0.2.0,https://github.com/brendanzab/algebra,2016-08-17,Unknown,UNMAINTAINED,Abstract_Algebra,Varies,Historical abstract algebra implementation,Unknown,NOT_RECOMMENDED,DEPRECATED,NOT_RECOMMENDED,10 years old; do not use
T4,hcomplex,v0.2.0,https://github.com/nthend/hcomplex,2020-12-05,Unknown,UNMAINTAINED,Hypercomplex,Varies,Lightweight complex/hypercomplex numbers,Unknown,LOW,DEPRECATED,NOT_RECOMMENDED,5+ years stale; do not use
REF,nalgebra,v0.34.1,https://github.com/dimforge/nalgebra,2026-01-22,4629,VERY_ACTIVE,Linear_Algebra,2-4D focus,Industry-standard linear algebra; quaternion support,Unknown,REFERENCE,ONGOING,REFERENCE,Already in workspace; not for advanced algebra
REF,quaternion,v2.0.0,https://github.com/PistonDevelopers/quaternion,2024-10-20,Unknown,MAINTAINED,Hypercomplex,4 (quaternion),Type-agnostic quaternion math; graphics-focused,Unknown,MODERATE,Phase 3a,SECONDARY,Alternative to num-quaternion; less active
